encoder.task_en_fi.token_emb.emb.weight	torch.Size([50368, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.18.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.19.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.19.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.19.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.20.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.20.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.20.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.20.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.20.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.21.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.21.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.21.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.22.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.22.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.22.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.22.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.22.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.23.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.23.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.23.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.24.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.24.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.24.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.24.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.24.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.25.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.25.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.25.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.26.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.26.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.26.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.26.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.26.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.27.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.27.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.27.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.28.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.28.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.28.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.28.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.28.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.29.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.29.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.29.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.30.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.30.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.30.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.30.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.30.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.31.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.31.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.31.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.32.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.32.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.32.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.32.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.32.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.33.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.33.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.33.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.34.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.34.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.34.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.34.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.34.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.35.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.35.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.35.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.36.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.36.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.36.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.36.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.36.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.37.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.37.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.37.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.38.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.38.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.38.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.38.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.38.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.39.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.39.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.39.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.40.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.40.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.40.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.40.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.40.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.41.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.41.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.41.1.ff.2.weight	torch.Size([768, 1152])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.42.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.42.1.to_q.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.42.1.to_k.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.42.1.to_v.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.42.1.to_out.weight	torch.Size([768, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.43.0.0.gamma	torch.Size([768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.43.1.ff.0.proj.weight	torch.Size([2304, 768])
encoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.43.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.token_emb.emb.weight	torch.Size([32000, 768])
decoder.task_en_fi.post_emb_norm.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.0.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.0.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.0.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.0.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.0.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.1.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.1.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.1.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.1.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.1.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.2.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.2.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.2.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.3.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.3.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.3.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.3.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.3.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.4.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.4.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.4.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.4.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.4.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.5.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.5.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.5.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.6.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.6.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.6.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.6.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.6.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.7.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.7.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.7.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.7.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.7.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.8.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.8.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.8.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.9.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.9.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.9.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.9.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.9.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.10.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.10.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.10.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.10.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.10.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.11.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.11.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.11.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.12.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.12.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.12.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.12.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.12.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.13.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.13.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.13.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.13.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.13.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.14.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.14.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.14.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.15.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.15.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.15.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.15.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.15.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.16.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.16.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.16.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.16.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.16.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.17.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.17.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.layers.17.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.rotary_pos_emb.inv_freq	torch.Size([16])
decoder.task_en_fi.attn_layers.attention_layers_stack.0.final_norm.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.0.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.0.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.0.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.0.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.0.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.1.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.1.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.1.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.1.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.1.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.2.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.2.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.2.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.3.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.3.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.3.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.3.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.3.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.4.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.4.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.4.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.4.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.4.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.5.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.5.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.5.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.6.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.6.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.6.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.6.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.6.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.7.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.7.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.7.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.7.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.7.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.8.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.8.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.8.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.9.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.9.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.9.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.9.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.9.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.10.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.10.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.10.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.10.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.10.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.11.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.11.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.11.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.12.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.12.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.12.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.12.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.12.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.13.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.13.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.13.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.13.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.13.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.14.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.14.1.ff.0.proj.weight	torch.Size([2304, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.14.1.ff.2.weight	torch.Size([768, 1152])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.15.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.15.1.to_q.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.15.1.to_k.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.15.1.to_v.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.15.1.to_out.weight	torch.Size([768, 768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.16.0.0.gamma	torch.Size([768])
decoder.task_en_fi.attn_layers.attention_layers_stack.0._base_layers.16.1.to_q.weight	torch.Size([768, 768])
